Tiempo (s),Posición Y (px),Posición Y (m),Velocidad (m/s),Aceleración (m/s^2)
0.0,44.0,0.2828584,0.0,0.0
0.008333333333333333,42.0,0.2700012,0.0,0.0
0.016666666666666666,42.0,0.2700012,0.0,0.0
0.025,42.0,0.2700012,0.0,0.0
0.03333333333333333,42.0,0.2700012,0.0,0.0
0.041666666666666664,42.0,0.2700012,0.0,0.0
0.05,42.0,0.2700012,0.0,0.0
0.058333333333333334,42.0,0.2700012,0.0,0.0
0.06666666666666667,42.0,0.2700012,0.0,0.0
0.075,42.0,0.2700012,0.0,0.0
0.08333333333333333,42.0,0.2700012,-0.15428640000000016,-1.8514368000000019
0.09166666666666666,42.0,0.2700012,0.0,0.0
0.1,42.0,0.2700012,0.0,0.0
0.10833333333333334,42.0,0.2700012,0.0,0.0
0.11666666666666667,44.0,0.2828584,0.15428640000000013,1.8514368000000014
0.125,44.0,0.2828584,0.15428640000000013,1.8514368000000014
0.13333333333333333,44.0,0.2828584,0.15428640000000016,1.8514368000000019
0.14166666666666666,44.0,0.2828584,0.15428640000000016,1.8514368000000019
0.15,44.0,0.2828584,0.15428640000000016,1.8514368000000019
0.15833333333333333,44.0,0.2828584,0.15428640000000016,1.8514368000000019
0.16666666666666666,44.0,0.2828584,0.15428640000000016,3.7028736000000038
0.175,44.0,0.2828584,0.15428640000000016,1.8514368000000019
0.18333333333333332,44.0,0.2828584,0.15428640000000018,1.8514368000000025
0.19166666666666668,44.0,0.2828584,0.15428640000000013,1.8514368000000014
0.2,44.0,0.2828584,0.0,-1.8514368000000014
0.20833333333333334,44.0,0.2828584,0.0,-1.8514368000000014
0.21666666666666667,44.0,0.2828584,0.0,-1.8514368000000017
0.225,44.0,0.2828584,0.0,-1.8514368000000017
0.23333333333333334,44.0,0.2828584,0.0,-1.8514368000000017
0.24166666666666667,42.0,0.2700012,-0.15428640000000013,-3.7028736000000033
0.25,42.0,0.2700012,-0.15428640000000013,-3.7028736000000033
0.25833333333333336,42.0,0.2700012,-0.1542864000000001,-3.7028736000000015
0.26666666666666666,42.0,0.2700012,-0.15428640000000013,-3.7028736000000033
0.275,42.0,0.2700012,-0.15428640000000013,-3.702873600000003
0.2833333333333333,42.0,0.2700012,-0.15428640000000018,-1.8514368000000025
0.2916666666666667,42.0,0.2700012,-0.15428640000000013,-1.8514368000000014
0.3,42.0,0.2700012,-0.15428640000000018,-1.8514368000000025
0.30833333333333335,42.0,0.2700012,-0.15428640000000013,-1.8514368000000014
0.31666666666666665,42.0,0.2700012,-0.15428640000000018,-1.8514368000000025
0.325,42.0,0.2700012,0.0,1.8514368000000014
0.3333333333333333,42.0,0.2700012,0.0,1.8514368000000019
0.3416666666666667,42.0,0.2700012,0.0,1.8514368000000017
0.35,42.0,0.2700012,0.0,1.8514368000000019
0.35833333333333334,42.0,0.2700012,0.0,1.8514368000000019
0.36666666666666664,42.0,0.2700012,0.0,1.8514368000000025
0.375,42.0,0.2700012,0.0,1.8514368000000019
0.38333333333333336,42.0,0.2700012,0.0,1.8514368000000014
0.39166666666666666,42.0,0.2700012,0.0,1.8514368000000019
0.4,42.0,0.2700012,0.0,1.8514368000000014
0.4083333333333333,42.0,0.2700012,0.0,0.0
0.4166666666666667,42.0,0.2700012,0.0,0.0
0.425,42.0,0.2700012,0.0,0.0
0.43333333333333335,42.0,0.2700012,0.0,0.0
0.44166666666666665,42.0,0.2700012,0.0,0.0
0.45,44.0,0.2828584,0.1542864000000001,1.8514368000000003
0.4583333333333333,44.0,0.2828584,0.15428640000000018,1.8514368000000025
0.4666666666666667,44.0,0.2828584,0.15428640000000018,1.8514368000000025
0.475,46.0,0.29571559999999997,0.3085727999999997,3.702873599999997
