Tiempo (s),Posición Y (px),Posición X (px),Posición Y (m),Posición X (m),Velocidad Y (m/s),Velocidad X (m/s),Aceleración Y (m/s^2),Aceleración X (m/s^2)
0.0,58.0,1.0,0.524726,0.009047,0.0,0.0,0.0,0.0
0.004166666666666667,58.0,2.0,0.524726,0.018094,0.0,0.0,0.0,0.0
0.008333333333333333,57.0,2.0,0.515679,0.018094,0.0,0.0,0.0,0.0
0.0125,57.0,2.0,0.515679,0.018094,0.0,0.0,0.0,0.0
0.016666666666666666,57.0,2.0,0.515679,0.018094,0.0,0.0,0.0,0.0
0.020833333333333332,59.0,2.0,0.5337729999999999,0.018094,0.0,0.0,0.0,0.0
0.025,58.0,2.0,0.524726,0.018094,0.0,0.0,0.0,0.0
0.029166666666666667,57.0,1.0,0.515679,0.009047,0.0,0.0,0.0,0.0
0.03333333333333333,57.0,1.0,0.515679,0.009047,0.0,0.0,0.0,0.0
0.0375,57.0,1.0,0.515679,0.009047,0.0,0.0,0.0,0.0
0.041666666666666664,59.0,1.0,0.5337729999999999,0.009047,0.217127999999998,0.0,10.422143999999903,0.0
0.04583333333333333,57.0,1.0,0.515679,0.009047,-0.21712800000000065,-0.217128,-10.422144000000033,-10.422144000000001
0.05,58.0,1.0,0.524726,0.009047,0.21712800000000063,-0.21712799999999996,10.42214400000003,-10.422143999999998
0.05416666666666667,57.0,2.0,0.515679,0.018094,0.0,0.0,0.0,0.0
0.058333333333333334,58.0,1.0,0.524726,0.009047,0.21712800000000063,-0.21712799999999996,10.42214400000003,-10.422143999999998
0.0625,58.0,1.0,0.524726,0.009047,-0.21712799999999796,-0.21712799999999996,-20.844287999999803,-10.422143999999998
0.06666666666666667,60.0,1.0,0.54282,0.009047,0.43425599999999864,-0.217128,31.266431999999963,0.0
0.07083333333333333,59.0,2.0,0.5337729999999999,0.018094,0.43425599999999864,0.217128,10.422143999999907,20.844288000000002
0.075,57.0,2.0,0.515679,0.018094,0.0,0.217128,0.0,10.422144000000001
0.07916666666666666,58.0,1.0,0.524726,0.009047,0.21712800000000065,0.0,1.3322676295501882e-15,10.422144000000001
0.08333333333333333,58.0,0.0,0.524726,0.0,-0.217127999999998,-0.217128,-1.3322676295501882e-15,-1.3322676295501882e-15
0.0875,57.0,2.0,0.515679,0.018094,0.0,0.217128,-20.84428799999994,20.844288000000002
0.09166666666666666,58.0,1.0,0.524726,0.009047,0.0,0.0,-20.84428799999994,-10.422144000000001
0.09583333333333334,58.0,1.0,0.524726,0.009047,0.21712800000000063,-0.21712799999999996,10.422144000000026,-20.844287999999988
0.1,58.0,2.0,0.524726,0.018094,0.0,0.21712799999999996,-10.422144000000026,10.422143999999994
0.10416666666666667,58.0,2.0,0.524726,0.018094,0.0,0.21712799999999996,10.422143999999898,20.844287999999988
0.10833333333333334,58.0,1.0,0.524726,0.009047,-0.4342559999999986,0.0,-20.844287999999924,-10.422143999999994
0.1125,60.0,1.0,0.54282,0.009047,0.21712800000000063,-0.21712799999999996,10.422144000000026,-10.422143999999994
0.11666666666666667,59.0,2.0,0.5337729999999999,0.018094,0.4342559999999986,0.0,10.422143999999905,10.422144000000001
0.12083333333333333,61.0,1.0,0.551867,0.009047,0.6513839999999992,0.0,31.266431999999966,-10.422144000000001
0.125,57.0,1.0,0.515679,0.009047,-0.21712800000000063,0.21712799999999996,-10.422144000000033,0.0
0.12916666666666668,58.0,1.0,0.524726,0.009047,0.21712800000000057,-0.2171279999999999,31.26643199999995,-10.42214399999999
0.13333333333333333,58.0,1.0,0.524726,0.009047,0.0,0.0,-10.422144000000033,10.422144000000001
0.1375,58.0,1.0,0.524726,0.009047,0.0,0.0,-20.844287999999924,0.0
0.14166666666666666,58.0,1.0,0.524726,0.009047,0.0,-0.21712800000000004,-31.266431999999966,-10.422144000000005
0.14583333333333334,58.0,1.0,0.524726,0.009047,0.0,-0.21712799999999996,10.422144000000026,-20.844287999999988
0.15,58.0,1.0,0.524726,0.009047,0.0,0.0,-10.422144000000037,10.422144000000005
0.15416666666666667,60.0,1.0,0.54282,0.009047,0.0,0.0,0.0,0.0
